index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
1,"[(0.5, 0.75), (0.0, 0.25), (0.25, 0.5)]",479,129,0.5756578947368421,,0
2,"[(0.25, 0.5), (0.0, 0.25), (0.25, 0.5)]",1147,304,0.5809786354238456,,0
3,"[(0.25, 0.5), (0.0, 0.25), (0.5, 0.75)]",869,114,0.768056968463886,,0
4,"[(0.0, 0.25), (0.25, 0.5), (0.5, 0.75)]",860,425,0.33852140077821014,,0
5,"[(0.0, 0.25), (0.0, 0.25), (0.5, 0.75)]",1278,289,0.6311423101467772,,0
6,"[(0.0, 0.25), (0.0, 0.25), (0.75, 1.0)]",1343,128,0.8259687287559483,,0
