index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
1,"[(0.5, 0.75), (0.0, 0.25), (0.25, 0.5)]",2,7,-0.5555555555555556,2.9419376670412336,0.08630714227234793
2,"[(0.25, 0.5), (0.0, 0.25), (0.25, 0.5)]",131,130,0.0038314176245210726,0.0038314269986548105,0.9506436446905184
3,"[(0.25, 0.5), (0.0, 0.25), (0.5, 0.75)]",6,10,-0.25,1.0106861568628234,0.31473851317871615
4,"[(0.0, 0.25), (0.25, 0.5), (0.5, 0.75)]",7,1,0.75,5.062032308856137,0.024455543724651085
5,"[(0.0, 0.25), (0.0, 0.25), (0.5, 0.75)]",13,3,0.625,6.7382276922538615,0.009436833117340337
6,"[(0.0, 0.25), (0.0, 0.25), (0.75, 1.0)]",0,0,,,
