index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
66,"[(0.4, 0.45), (0.0, 0.05), (0.55, 0.6)]",24,4,0.7142857142857143,15.849728287206037,6.85763823605745e-05
67,"[(0.35, 0.4), (0.25, 0.3), (0.3, 0.35)]",83,37,0.38333333333333336,18.092771496603703,2.1039865918615064e-05
68,"[(0.35, 0.4), (0.25, 0.3), (0.35, 0.4)]",73,35,0.35185185185185186,13.660888654040797,0.0002189678469546319
69,"[(0.35, 0.4), (0.2, 0.25), (0.35, 0.4)]",65,25,0.4444444444444444,18.414888171185297,1.7766440736921574e-05
70,"[(0.35, 0.4), (0.2, 0.25), (0.4, 0.45)]",64,21,0.5058823529411764,22.791284146258675,1.8058282159616468e-06
71,"[(0.35, 0.4), (0.15, 0.2), (0.4, 0.45)]",52,10,0.6774193548387096,31.16663523619122,2.3680133187653496e-08
72,"[(0.35, 0.4), (0.15, 0.2), (0.45, 0.5)]",48,13,0.5737704918032787,21.361324940326835,3.80367206520571e-06
73,"[(0.35, 0.4), (0.1, 0.15), (0.45, 0.5)]",40,10,0.6,19.274475702175742,1.1320970505157568e-05
74,"[(0.35, 0.4), (0.1, 0.15), (0.5, 0.55)]",36,5,0.7560975609756098,26.432902029343197,2.7285298165313776e-07
75,"[(0.35, 0.4), (0.05, 0.1), (0.5, 0.55)]",30,9,0.5384615384615384,11.929556977344575,0.0005525031399398195
76,"[(0.35, 0.4), (0.05, 0.1), (0.55, 0.6)]",23,5,0.6428571428571429,12.53990259862741,0.00039835306522528757
77,"[(0.35, 0.4), (0.0, 0.05), (0.55, 0.6)]",26,3,0.7931034482758621,20.91207204238706,4.8085463706382114e-06
78,"[(0.35, 0.4), (0.0, 0.05), (0.6, 0.65)]",36,2,0.8947368421052632,37.00858987443023,1.1760997731258271e-09
79,"[(0.3, 0.35), (0.3, 0.35), (0.35, 0.4)]",66,37,0.2815533980582524,8.276499103204541,0.004016148983401191
80,"[(0.3, 0.35), (0.25, 0.3), (0.35, 0.4)]",64,35,0.29292929292929293,8.620810398517317,0.0033234395239568615
81,"[(0.3, 0.35), (0.25, 0.3), (0.4, 0.45)]",82,34,0.41379310344827586,20.47169377846718,6.051968273523833e-06
82,"[(0.3, 0.35), (0.2, 0.25), (0.4, 0.45)]",72,17,0.6179775280898876,36.572099163572695,1.4712252527360192e-09
83,"[(0.3, 0.35), (0.2, 0.25), (0.45, 0.5)]",71,22,0.5268817204301075,27.1682803452769,1.8649343613841296e-07
84,"[(0.3, 0.35), (0.15, 0.2), (0.45, 0.5)]",72,13,0.6941176470588235,45.112911524148835,1.8599455309242785e-11
85,"[(0.3, 0.35), (0.15, 0.2), (0.5, 0.55)]",65,5,0.8571428571428571,61.015995602255906,5.662137425588298e-15
86,"[(0.3, 0.35), (0.1, 0.15), (0.5, 0.55)]",43,5,0.7916666666666666,34.46442136058459,4.341143666763969e-09
87,"[(0.3, 0.35), (0.1, 0.15), (0.55, 0.6)]",37,6,0.7209302325581395,24.8564867449182,6.176086871922948e-07
88,"[(0.3, 0.35), (0.05, 0.1), (0.55, 0.6)]",37,5,0.7619047619047619,27.56241989124608,1.5210550996513916e-07
89,"[(0.3, 0.35), (0.05, 0.1), (0.6, 0.65)]",30,3,0.8181818181818182,25.641731491906675,4.1105300685462254e-07
90,"[(0.3, 0.35), (0.0, 0.05), (0.6, 0.65)]",7,0,1.0,9.704060527839234,0.001838612948382834
